                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 DYB 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 DYB 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 DYB 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 DYB 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 SIP 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 --
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 00
WTC   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 02 04
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 DYB 14 DYB 15 5 4 1 . 1 5 4 03 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 SAB 13 DYB 15 5 4 1 . 1 5 - 03 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 DYB 12   WRC DYB 11 SAB 14 SAB 10 SIP 13 DYB 15 5 4 1 . 1 5 4 03 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 SAB 11   WRC DYB 11 SAB 14 SAB 10 SIP 13 DYB 15 - 4 1 . 1 5 4 03 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 SIP 11   WRC DYB 11 SAB 14 SAB 10 SIP 13 DYB 15 5 4 1 . 1 5 4 03 --
TSR   WRC DYB 09 SAB 18 SAB 18 DYB 15 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 DYB 15 5 4 1 . - 5 4 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 DYB 15 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 DYB 15 5 4 - . - 5 4 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 DYB 15 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 SAB 14 5 4 - . - - 4 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 DYB 15 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 SIP 14 5 4 - . 5 - 4 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 SAB 14 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 SIP 14 5 - - . 5 - 4 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 SIP 14 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 SIP 14 5 - 4 . 5 - 4 03 --
